season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
21/22,Benetton Rugby,away,loss,0,28,-6,148,458,14,6,10,185,16,4,34,1266,5,5,2,18,83,14,9,2,0,2,1,0,0,0,52,128,0,0,5,72,4,-5,-12,-407,-2,1,0,8,-74,0,1,2,0,-4,1,-3,0,0
21/22,Scarlets,home,win,1,34,6,96,330,14,6,5,113,12,9,46,1673,7,4,2,10,157,14,8,0,0,6,0,3,0,0,-52,-128,0,0,-5,-72,-4,5,12,407,2,-1,0,-8,74,0,-1,-2,0,4,-1,3,0,0
21/22,Zebre Parma,home,loss,0,10,-17,72,150,8,1,11,94,17,10,16,659,10,5,2,9,130,23,12,1,0,4,0,4,0,1,-46,-222,-15,-4,-2,-63,5,4,-4,-49,3,-5,2,-9,57,15,4,0,0,3,0,2,0,1
21/22,Edinburgh Rugby,away,win,1,27,17,118,372,23,5,13,157,12,6,20,708,7,10,0,18,73,8,8,1,0,1,0,2,0,0,46,222,15,4,2,63,-5,-4,4,49,-3,5,-2,9,-57,-15,-4,0,0,-3,0,-2,0,-1
21/22,Glasgow Warriors,home,loss,0,15,-16,151,295,19,3,13,176,16,4,21,795,4,7,1,13,139,17,9,2,0,1,0,1,0,0,30,-86,2,-3,8,31,7,-6,-1,22,-2,5,-2,4,-38,-2,-5,-1,0,-4,-1,-5,0,-2
21/22,Leinster Rugby,away,win,1,31,16,121,381,17,6,5,145,9,10,22,773,6,2,3,9,177,19,14,3,0,5,1,6,0,2,-30,86,-2,3,-8,-31,-7,6,1,-22,2,-5,2,-4,38,2,5,1,0,4,1,5,0,2
21/22,Connacht Rugby,home,win,1,36,25,127,541,12,7,11,135,14,14,17,644,6,7,4,10,129,22,17,1,0,7,1,8,0,1,28,241,-10,5,5,14,-2,4,-3,-175,3,-2,1,-6,-2,10,5,-1,0,4,1,7,0,0
21/22,Ulster Rugby,away,loss,0,11,-25,99,300,22,2,6,121,16,10,20,819,3,9,3,16,131,12,12,2,0,3,0,1,0,1,-28,-241,10,-5,-5,-14,2,-4,3,175,-3,2,-1,6,2,-10,-5,1,0,-4,-1,-7,0,0
21/22,Cardiff Rugby,home,win,1,31,2,93,294,9,5,4,87,9,7,15,697,7,8,0,14,175,20,14,1,0,2,0,1,1,1,-55,-128,-11,0,-5,-102,-3,-4,2,124,3,0,0,0,55,11,-4,-5,0,-1,-1,-1,1,1
21/22,Dragons RFC,away,loss,0,29,-2,148,422,20,5,9,189,12,11,13,573,4,8,0,14,120,9,18,6,0,3,1,2,0,0,55,128,11,0,5,102,3,4,-2,-124,-3,0,0,0,-55,-11,4,5,0,1,1,1,-1,-1
21/22,Ospreys,home,win,1,18,8,96,164,16,2,4,96,6,5,25,1205,9,11,4,10,72,10,11,1,1,3,0,2,0,0,19,-75,6,2,-2,-22,-10,-3,-3,264,6,9,3,-4,-47,-6,-3,-4,1,0,-1,-1,0,0
21/22,Munster Rugby,away,loss,0,10,-8,77,239,10,0,6,118,16,8,28,941,3,2,1,14,119,16,14,5,0,3,1,3,0,0,-19,75,-6,-2,2,22,10,3,3,-264,-6,-9,-3,4,47,6,3,4,-1,0,1,1,0,0
21/22,Ospreys,away,loss,0,18,-28,94,195,15,1,2,119,12,7,14,517,4,8,3,9,175,23,10,3,0,3,1,2,0,1,-53,-449,-8,-8,-9,-45,-1,-2,-2,149,-3,3,2,-1,46,8,-1,2,-2,1,1,1,0,1
21/22,Connacht Rugby,home,win,1,46,28,147,644,23,9,11,164,13,9,16,368,7,5,1,10,129,15,11,1,2,2,0,1,0,0,53,449,8,8,9,45,1,2,2,-149,3,-3,-2,1,-46,-8,1,-2,2,-1,-1,-1,0,-1
21/22,DHL Stormers,home,win,1,55,48,125,658,40,11,14,175,14,3,26,1012,8,4,0,13,59,9,7,0,0,1,0,3,0,0,76,536,31,9,11,119,3,-6,5,44,4,1,-3,-1,-75,-31,0,-3,0,-1,-1,1,-1,0
21/22,Zebre Parma,away,loss,0,7,-48,49,122,9,2,3,56,11,9,21,968,4,3,3,14,134,40,7,3,0,2,1,2,1,0,-76,-536,-31,-9,-11,-119,-3,6,-5,-44,-4,-1,3,1,75,31,0,3,0,1,1,-1,1,0
21/22,Benetton Rugby,home,win,1,19,1,70,139,6,2,2,85,11,4,24,722,9,2,1,13,138,16,10,4,0,1,0,0,0,1,-34,-110,-10,0,-2,-33,-6,-1,7,125,0,-4,0,4,58,10,-3,3,-2,-3,-1,-5,0,1
21/22,Glasgow Warriors,away,loss,0,18,-1,104,249,16,2,4,118,17,5,17,597,9,6,1,9,80,6,13,1,2,4,1,5,0,0,34,110,10,0,2,33,6,1,-7,-125,0,4,0,-4,-58,-10,3,-3,2,3,1,5,0,-1
21/22,Hollywoodbets Sharks,home,win,1,37,17,136,418,27,5,7,133,16,9,28,1013,8,6,1,11,117,18,7,0,0,2,0,2,0,0,26,111,9,0,2,1,4,2,2,172,3,-5,1,2,-55,-9,-11,-3,0,-5,0,1,0,-2
21/22,Scarlets,away,loss,0,20,-17,110,307,18,5,5,132,12,7,26,841,5,11,0,9,172,27,18,3,0,7,0,1,0,2,-26,-111,-9,0,-2,-1,-4,-2,-2,-172,-3,5,-1,-2,55,9,11,3,0,5,0,-1,0,2
